uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
501613-NH715036,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH715036,271500,803600,PIT7,,,,2020-21,,Lochaber & Skye,Private
501613-NH738073,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH738073,273800,807300,PIT8,,,,2020-21,,Lochaber & Skye,Private
501613-NH733071,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH733071,273300,807100,PIT9,,,,2020-21,,Lochaber & Skye,Private
501613-NH742066,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH742066,274200,806600,PIT10,,,,2020-21,,Lochaber & Skye,Private
501613-NH739062,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH739062,273900,806200,PIT11,,,,2020-21,,Lochaber & Skye,Private
501613-NH715045,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH715045,271500,804500,PIT12,,,,2020-21,,Lochaber & Skye,Private
501613-NH720042,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH720042,272000,804200,PIT13,,,,2020-21,,Lochaber & Skye,Private
501613-NH706047,501613,Pitmain and Glenbanchor Ltd - Restoration of Pitmain Estate 2020-21 (MDMG),Restoration,NH706047,270600,804700,PIT14,,,,2020-21,,Lochaber & Skye,Private
501614-NH692205,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH692205,269200,820500,GLNM9,,,,2020-21,,Lochaber & Skye,Private
501614-NH695199,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH695199,269500,819900,GLNM10,,,,2020-21,,Lochaber & Skye,Private
501614-NH694195,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH694195,269400,819500,GLNM11,,,,2020-21,,Lochaber & Skye,Private
501614-NH698194,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH698194,269800,819400,GLNM12,,,,2020-21,,Lochaber & Skye,Private
501614-NH708196,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH708196,270800,819600,GLNM13,,,,2020-21,,Lochaber & Skye,Private
501614-NH722202,501614,Peatland Restoration on Glenmazeran Estate 2020-21 (MDMG),Restoration,NH722202,272200,820200,GLNM14,,,,2020-21,,Lochaber & Skye,Private
501615-NH654021,501615,Peatland Restoration on Glenbanchor Estate in 2020-21 (MDMG),Restoration,NH654021,265400,802100,GLB4,,,,2020-21,,Lochaber & Skye,Private
501616-NH733266,501616,Peatland Restoration on Farr estate in 2020-21 (MDMG),Restoration,NH733266,273300,826600,FARR10,,,,2020-21,,Lochaber & Skye,Private
501616-NH708303,501616,Peatland Restoration on Farr estate in 2020-21 (MDMG),Restoration,NH708303,270800,830300,FARR14,,,,2020-21,,Lochaber & Skye,Private
501616-NH737308,501616,Peatland Restoration on Farr estate in 2020-21 (MDMG),Restoration,NH737308,273700,830800,FARR15,,,,2020-21,,Lochaber & Skye,Private
501617-NH768114,501617,Peatland Restoration on Dunachton and Kincraig Estate in 2020-21 (MDMG),Restoration,NH768114,276800,811400,DUN4,,,,2020-21,,Lochaber & Skye,Private
501617-NH762110,501617,Peatland Restoration on Dunachton and Kincraig Estate in 2020-21 (MDMG),Restoration,NH762110,276200,811000,DUN5,,,,2020-21,,Lochaber & Skye,Private
501617-NH777107,501617,Peatland Restoration on Dunachton and Kincraig Estate in 2020-21 (MDMG),Restoration,NH777107,277700,810700,DUN6,,,,2020-21,,Lochaber & Skye,Private
501617-NH775094,501617,Peatland Restoration on Dunachton and Kincraig Estate in 2020-21 (MDMG),Restoration,NH775094,277500,809400,DUN7,,,,2020-21,,Lochaber & Skye,Private
501618-NH583174,501618,Peatland Restoration on Dunmaglass estate in 2020-21 (MDMG),Restoration,NH583174,258300,817400,DNMG1b,,,,2020-21,,Lochaber & Skye,Private
501618-NH602176,501618,Peatland Restoration on Dunmaglass estate in 2020-21 (MDMG),Restoration,NH602176,260200,817600,DNMG2,,,,2020-21,,Lochaber & Skye,Private
501619-NN325955,501619,Peatland Restoration on Braeroy Estate in 2020-21 (MDMG),Restoration,NN325955,232500,795500,BR2,,,,2020-21,,Lochaber & Skye,Private
501619-NN404908,501619,Peatland Restoration on Braeroy Estate in 2020-21 (MDMG),Restoration,NN404908,240400,790800,BR3,,,,2020-21,,Lochaber & Skye,Private
